,Tipo de accidente,Descripción del accidente
529,Colisión de vehículos,Accidente con heridos en carril central 19:00 retiramos veh al arcén derecho.2 veh salen por sus medios 1 con su grúa.Se ofrece la grúa y no la quieren.1 herido leve dado de alta en el lugar.
530,Colisión de vehículos,Accidente leve por alcance entre dos vehículos a nuestra lelgada ya habían abandonado el punto.
531,Colisión de vehículos,"Colisión de vehículos, sin heridos en carril izquierdo. Cuando llego PM lo ha pasado al arcén derecho."
532,Colisión de vehículos,"Accidente por alcance leve dos vehiculos, parados en arcen derecho."
533,Colisión de vehículos,"Accidente en carril izquierdo, a mi llegada estan en arcen derecho con Policía."
534,Colisión de vehículos,"Accidente de 3 vehiculos por alcance, cuando llegamos uno de ellos a salido por us medios, de los dos que quedan sacamos el Citroen rojo y el Peugeot sale por sus medios, el acompañante de Peugeot  es trasladado al Hospital por Samur."
535,Colisión de vehículos,Señalizar vehiculo accidente en arcen dcho. Herido leve trasladado a Hospital
536,Colisión de vehículos,"Accidente producido en el carril izquierdo, cuando estabamos cargando un coche parado en carril derecho junto a Policía. Todos salen por sus medios salvo el Seat Ibiza que sacamos nosotros al exterior porque su conductor es trasladado al Clinico."
538,Colisión de vehículos,Accidente en carril izquierdo. A mi llegada estan en arcen derecho 00XC40 con Policía que me indica que me retire.
540,Colisión de vehículos,"Colisión por alcance, los vehiculos solo paran a darse datos. Salen por sus medios."
541,Colisión de vehículos,Accidente en carril derecho. Se ofrece grúa y no la quieren.
542,Colisión de vehículos,Aviso del C. Control accidente. Policía lo pasa al anchurón. Herido lo trasladan a Mapfre Capitan Haya.
543,Colisión de vehículos,Colisión de vehiculos sin heridos en carril derecho. Se pasan a arcen derecho.
544,Colisión de vehículos,Colisión de vehiculos por alcance sin heridos.
545,Colisión de vehículos,"Accdiente por alcance de vehçiculo a moto, después del golpe vehículo 2 se da a la fuga, atropellando al peatón que estaba en el suelo, solicita a centro de control samur, pues le había pisado una pierna, samur lo lleva al ramón y Cajal con pronóstico leve."
546,Colisión de vehículos,"Accidente en carril derecho, a mi llegada policía ha sacado los vehículos al arcén derecho del ramal 32RC. Los vehículos son retirados por sus medios."
547,Colisión de vehículos,"Anulada, accidente entre moto y coche. El centro de control anula la incidencia, ya que los vehículos se retiran del punto por sus medios,no salimos de base."
548,Colisión de vehículos,"dos vehículos apartadero derecho, anulada."
549,Colisión de vehículos,"Accidente en arcén derecho, no se ofrece grúa, los vehículos se retiran por sus medios."
550,Colisión de vehículos,"Señalizar accidente, herido leve trasladado a hospital."
551,Colisión de vehículos,Colisión entre moto y turismo con herido leve (motorista) trasladado leve al Gregorio Marañon.
552,Colisión de vehículos,"Aviso del CCT de accidente en carril izquierdo.A mi llegada solo queda 1 veh que necesita grúa, lo pasan a carril derecho."
553,Colisión de vehículos,Accidente en arcén derecho.Se le ofrece grúa y no la quiere.Veh retirado por su grúa.A mi llegada solo queda 1 veh.
554,Colisión de vehículos,Aviso del CCT accidente en carril derecho.Herido atendido en el punto dado de alta.
555,Salida de vía,Vehículo se sale de la vía causando daños al patrimonio.Herido dado de alta en el punto.
556,Salida de vía,Vehículos se sale de la vía colisionando contra el muro.No daños.
557,Salida de vía,Encuentro coche con policía cortando el ramal (el coche choco contra la barrera).
558,Colisión de vehículos,Aviso:Accidente en carril derecho sin daños ni heridos.Se ofrece grúa pero ya han solicitado la de su seguro.
559,Colisión de vehículos,"Colisión alcance 3 vehículos carril derecho,sin heridos ni daños.Corto carril derecho hasta la retirada de estos por sus medios,una vez que realizan parte amistoso."
560,Colisión de vehículos,Encuentro el coche subido en la acera despues de chocar con el autobus al saltarse el stop (se llama al Jefe de turno).
561,Salida de vía,Moto se sale de la vía colisionando contra el muro saliendo el motorista desplazado cayendo al otro lado del muro.Herido trasladado al Ramón y Cajal.
562,Colisión de vehículos,"Aviso de accidente,cuando llegó al punto 1 de los veh implicados está abandonando el punto por sus medios (no puedo coger datos ni fotos).El segundo veh tambien abandona por sus medios."
563,Salida de vía,Vehículo que se sale de la vía golpeando el portico derecho de la salida de emergencia.El veh es retirado por grúa municipal.Retiramos desperfectos y limpiamos la zona.No hay daños personales.
564,Colisión de vehículos,Colisión alcance 3 vehículos sin heridos ni daños carril derecho.Se corta carril derecho hasta la retirada de los vehículos 1 y 2 por sus medios y el veh 3 grúa propia.Se ofrece servicio Rudesa el usuario no necesita el servicio. 
565,Salida de vía,Salida de vía con colisión con balizamiento y barrera.Policía activa nuestra grúa.
566,Colisión de vehículos,Colisión alcance.A mi llegada solo hay 1 veh a la espera de grúa y F44 señalizando esté.Activamos servicio de grúa externa.retiramos esté fuera de limite M-30 en zona urbana.
567,Salida de vía,Accidente de motorista sin contrario.El conductor no sufre daños y prosigue la marcha.
568,Colisión de vehículos,Accidente por alcance entre 2 vehículos.Sacamos 1 con F-13 y el otro sale por sus medios.Hay vertido de aceite.
569,Salida de vía,Accidente contra barrera en margen izquierdo. Sin heridos.Con daños al patrimonio.
570,Colisión de vehículos,Colisión alcance 2 vehículos sin heridos ni daños carril derecho.Abandonan por sus medios los 2.
571,Colisión de vehículos,Vehículo accidentado en carril derecho.Se retira a mi llegada(solo queda 1 veh).
572,Salida de vía,"Salida de vía con daños y heridos, señalizo y me retiro a otra incidencia."
573,Salida de vía,"Señalizar accidente salida de vía y cuandp llego policía nacional retira el vehículo fuera de zona, lo carga su grúa seguro."
574,Salida de vía,"Vehículo colisiona contra la barrera en margen izquierdo, accidente sin heridos, se ofrece grúa y no la quiere, vehículo retirado por su grúa, se corta medio carril."
575,Salida de vía,"Señalizar accidente. Salida de vía, sin daños al patrimonio, sin heridos, el vehículo se retira por sus medios."
576,Salida de vía,"Salida de vía en lado izquierdo, corto carril derechp, conductot atendido por Samur por ataque de ansiedad, dado de alta en el punto, activo Rudesa."
577,Vuelco,"Vuelco en carril izquierdo, a nuestra llegada Samur se había retirado con la conductora, con ayuda de bomberos y policía retiramos el vehículo al arcén derecho y me voy a la incidenica 58."
578,Salida de vía,"Salida de vía, corto carril derecho."
579,Salida de vía,"Encuentro coche en carril derecho, después de golpear el muro en lado izquierdo."
580,Colisión de vehículos,"Accidente por alcance 2 vehículos implicados, sin heridos, reanudan la marcha por sus medios."
581,Colisión de vehículos,"Accidente por alcance entre un turismo y un motorista, 1 herido leve trasladado al Hospital Gregorio Marañon. Sin daños al patrimonio. Limpieza de restos."
582,Colisión de vehículos,"Accidente por alcance entre 2 vehículos ocupando el arcen izquierdo, 1 herido leve trasladado al Hospital La Paz. Sin daños al patrimonio."
583,Colisión de vehículos,Accidente por alcance entre 3 vehículos ocupando el carril derecho. Sin daños al patrimonio ni heridos. Dos vehículos se retiram por sus medios y el tercero en su grúa del seguro.
584,Colisión de vehículos,Accidente por alcance entre 2 vehículos ocupando el carril derecho hasta que Policía Municipal los trasladada al arcén derecho. Sin daños al patrimonio ni heridos. Ambos vehículos se retiran por sus medios.
585,Colisión de vehículos,Accidente por alcance entre 2 vehículos ocupando el carril izquierdo hasta que Policía Municipal los trasladada al carril derecho. Sin daños al patrimonio ni heridos. Uno de los vehículos implicados se retira por sus medios y el otro en su grúa del seguro.
586,Colisión de vehículos,Accidente por alcance entre 3 vehículos ocupando el carril central hasta que son trasladados al arcén derecho. 1 herido leve dado de alta en el punto por el Samur.
587,Colisión de vehículos,"Accidente por alcance en carriles izquierdos entre un turismo, un camión y un motorista, este último resulta herido y trasladado por el SUMMA al hospital sin pronosticar. "
588,Colisión de vehículos,"Accidente por alcance entre un turismo y un camión ocupando el carril derecho. Sin heridos ni daños al patrimonio, ambos vehículos se retiran por sus medios."
589,Colisión de vehículos,Accidente por alcance entre 2 turismos ocupando el carril izquierdo hasta que Policía Municipal los retira por sus medios fuera de límites. Sin heridos ni daños al patrimonio.
590,Colisión de vehículos,"Accidente por alcance entre una furgoneta y un motorista, este último resulta herido leve y trasladado al hospital. Sin heridos ni daños al patrimonio."
591,Colisión de vehículos,"Colisión lateral entre camión y vehículo, sin heridos ni daños en carril derecho. Corto carril derecho hasta que hacen parte amistoso, abandonando por sus medios ambos. "
592,Colisión de vehículos,"Colisión entre camión y vehículo con heridos y daños. Vehiculo 1 en carril derecho del 12RH (con Policía se pasa al carril derecho del NL, donde se encuentra el vehículo 2). Corto carril derecho del 11NL20 hasta que SAMUR atiende y traslada a 2 usuarios del vehículo 2 en estado leve"
593,Colisión de vehículos,Pequeña colisión alcance sin heridos ni daños en isleta. Terminan parte amistoso y abandonan por sus medios.
594,Colisión de vehículos,Colisión por alcance sin heridos. Corte de carril derecho
595,Colisión de vehículos,Pequeña colisión alcanse sin heridos ni daños. Pasamos vehículo al jardin hasta que terminan parte y abandonan por sus medios. 
596,Colisión de vehículos,"Señalizar accidente por alcance en carril central sin daños a patrimonio, ni heridos. El vehículo 1 se retira por sus medios y el 2 en su grúa propia"
597,Colisión de vehículos,"Señalizar accidente por alcance en carril derecho, sin daños a patrimonio ni heridos. Policía lo retira a glorieta de Méndez álvaro. Los vehículos se retiran por sus medios"
599,Colisión de vehículos,Alcance entre 2 vehículos. Se solicita SAMUR para la acompañante del FIAT es trasladada al Hospital. Se solicita plataforma. Cargamos al Nisan y sacamos al exterior
600,Colisión de vehículos,"Colisión alcance entre moto y vehículo en carril izquierdo. Con Policía movemos vehiculos al carril derecho, cortamos carril derecho hasta que SAMUR atiende a usuario danto de alta en el punto. Se activa Grúa externa (Ollero) que llega a las 09:20 y saca vehículo a Arturo Soria"
601,Colisión de vehículos,"Accidente leve por alcance de dos vehículos implicados, sin heridos"
602,Colisión de vehículos,Accidente por alcance leve de dos vehículos. Vehículo 2 grúa externa (Ollero) y vehículo 1 por grúa propia
603,Colisión de vehículos,"Accidente lateral entre 2 vehículos, sin daños ni heridos en isleta. Los movemos al arcén derecho"
604,Salida de vía,Vehículo colisiona contra la señal
605,Colisión de vehículos,Señalizar accidente por alcance en carril derecho. Lo retira grúa externa a Conde de Casal y limpieza de aceite en carril derecho
606,Colisión de vehículos,Aviso del centro de control de accidente. Policía pasa a los vehículos al ramal 32RN. Limpio mancha de aceite del vehículo 2
607,Colisión de vehículos,"Aviso accidente de vehículos. Señalizamos con BUL C-12, se trata de un alcance entre 2 vehículos. Uno sale por sus medios y el otro lo sacamos con F11"
608,Salida de vía,"Nos avisan de coche parado, al llegar nos informa la usuaria que ha sufrido un golpe con el bordillo y rueda reventada. Sacamos al exterior junto a Policía. Nos activan cuando regresamos a base de la Incidencia 10. "
609,Salida de vía,Señalizar accidente salida de vía en carril izquierdo. Traslado del herido al 12 Octubre
